Description,polarity,Sentiment
look good villa property one popular brokerage property villa available modern unit area square close best international fortis malar hospital military hospital establish international institute hotel management senior secondary junior college school also,0.27777777777777773,Positive
villa sale owner list property thus brokerage involve villa promise investment destination might chance grab best property sale villa available reasonable price spacious property spread square area square property provision bathroom property auspiciously build strategic location,0.5333333333333333,Positive
villa sale post owner brokerage involve beautifully design unit one desire contact information unit area square provision bathroom residential property near government primary school school high school also close sir hospital speciality hospital corporation hospital,0.3775,Positive
property sale apartment promise location property post owner brokerage involve floor total number build price area square apartment strategically within close distance famous health city dental college research institute chetty hospital like panchayat union middle,0.16666666666666666,Positive
one property available sale apartment post directly owner make floor build price apartment apartment spacious area square property quick distance away best pink fitness ladies gym senior secondary school higher secondary school also close good repute like fortis hospital,0.23148148148148145,Positive
stilt lift gym hall power backup water security property check apartment sale property post owner thus need pay broker amount apartment perfect promise location one area buy apartment sale floor total number project property pay,0.5,Positive
stilt lift gym power backup water play area security property apartment sale post owner brokerage involve beautifully design unit one desire contact information unit floor property maintenance come unit area square carpet area square property,0.85,Positive
apartment sale anna unit available anna premium best price property post owner brokerage involve contact desire purchase anna floor total number price apartment good spacious apartment unit carpet area square area square bathroom property walk distance indigo,0.5249999999999999,Positive
property sale apartment promise location property post owner brokerage involve floor total number build price also need pay towards maintenance area square property bathroom apartment strategically within close distance famous lifeline,0.25,Positive
property sale anna apartment promise location property post owner brokerage involve floor total number build price also need pay towards maintenance apartment spacious unit carpet area square ideal area square property bathroom also servant room unit good view,0.5333333333333333,Positive
apartment sale west unit available west premium best price property post owner brokerage involve contact desire purchase west floor total number price apartment project also pay monthly maintenance area square bathroom property walk distance,0.4666666666666666,Positive
best apartment available sale brokerage involve post owner grab property sale one top location situate floor total number apartment property price unit monthly maintenance carpet area unit square area square bathroom ideal location young property close higher secondary,0.35625,Positive
check apartment sale property post owner thus need pay broker amount apartment perfect promise location one area buy apartment sale unit sale floor total number project price property pay towards maintenance property,0.5,Positive
check apartment sale property post owner thus need pay broker amount apartment perfect promise location one area buy apartment sale floor total number project price property abide square area unit bathroom educational,0.4166666666666667,Positive
apartment sale property investment location tastefully design unit among best brokerage property property post directly owner contact property floor total number apartment price apartment best property spacious area square bathroom,0.525,Positive
